ID fiada	Xi	Yi	Xf	Yf	Tipo	Layer	N£mFiada	ID par	Check	XiDelta	YiDelta	
F060008	44.8052	16.01	47.5952	16.01	LINE	FIADAS	6	P0007		0	100	
F050007	44.8052	15.81	49.8527	15.81	LINE	FIADAS	5	P0007		0	80	
F040007	44.8052	15.61	49.8527	15.61	LINE	FIADAS	4	P0007		0	60	
F030007	44.8052	15.41	49.8527	15.41	LINE	FIADAS	3	P0007		0	40	
F020007	45.4052	15.21	49.8527	15.21	LINE	FIADAS	2	P0007		60	20	
F020008	44.8052	15.21	45.1952	15.21	LINE	FIADAS	2	P0007		0	20	
F010007	44.8052	15.01	49.8527	15.01	LINE	FIADAS	1	P0007		0	0	
F110011	54.4026	17.01	54.6926	17.01	LINE	FIADAS	11	P0006		156	200	
F110012	52.9915	17.01	53.2815	17.01	LINE	FIADAS	11	P0006		15	200	
F100011	54.4026	16.81	54.6926	16.81	LINE	FIADAS	10	P0006		156	180	
F100012	52.9915	16.81	53.2815	16.81	LINE	FIADAS	10	P0006		15	180	
F090011	54.4026	16.61	54.6926	16.61	LINE	FIADAS	9	P0006		156	160	
F090012	52.9915	16.61	53.2815	16.61	LINE	FIADAS	9	P0006		15	160	
F080011	54.4026	16.41	54.6926	16.41	LINE	FIADAS	8	P0006		156	140	
F080012	52.9915	16.41	53.2815	16.41	LINE	FIADAS	8	P0006		15	140	
F070010	54.4026	16.21	54.6926	16.21	LINE	FIADAS	7	P0006		156	120	
F070011	52.9915	16.21	53.2815	16.21	LINE	FIADAS	7	P0006		15	120	
F060009	54.4026	16.01	54.6926	16.01	LINE	FIADAS	6	P0006		156	100	
F060010	52.9915	16.01	53.2815	16.01	LINE	FIADAS	6	P0006		15	100	
F050008	54.4026	15.81	54.6926	15.81	LINE	FIADAS	5	P0006		156	80	
F050009	52.9915	15.81	53.2815	15.81	LINE	FIADAS	5	P0006		15	80	
F040008	54.4026	15.61	54.6926	15.61	LINE	FIADAS	4	P0006		156	60	
F040009	52.9915	15.61	53.2815	15.61	LINE	FIADAS	4	P0006		15	60	
F030008	54.4026	15.41	54.6926	15.41	LINE	FIADAS	3	P0006		156	40	
F030009	52.9915	15.41	53.2815	15.41	LINE	FIADAS	3	P0006		15	40	
F020009	54.4026	15.21	54.6926	15.21	LINE	FIADAS	2	P0006		156	20	
F020010	52.9915	15.21	53.2815	15.21	LINE	FIADAS	2	P0006		15	20	
F010008	54.4026	15.01	54.6926	15.01	LINE	FIADAS	1	P0006		156	0	
F010009	52.9915	15.01	53.2815	15.01	LINE	FIADAS	1	P0006		15	0	
F060011	5.8953	16.01	8.9353	16.01	LINE	FIADAS	6	P0005		15	100	
F050010	5.8953	15.81	8.9353	15.81	LINE	FIADAS	5	P0005		15	80	
F040010	5.8953	15.61	8.9353	15.61	LINE	FIADAS	4	P0005		15	60	
F030010	5.8953	15.41	8.9353	15.41	LINE	FIADAS	3	P0005		15	40	
F020011	5.8953	15.21	8.9353	15.21	LINE	FIADAS	2	P0005		15	20	
F010010	5.8953	15.01	8.9353	15.01	LINE	FIADAS	1	P0005		15	0	
F130005	0	17.41	2.39	17.41	LINE	FIADAS	13	P0004		0	240	
F120005	0	17.21	2.39	17.21	LINE	FIADAS	12	P0004		0	220	
F110013	0	17.01	2.39	17.01	LINE	FIADAS	11	P0004		0	200	
F100013	0	16.81	2.39	16.81	LINE	FIADAS	10	P0004		0	180	
F090013	0	16.61	2.39	16.61	LINE	FIADAS	9	P0004		0	160	
F080013	0	16.41	2.39	16.41	LINE	FIADAS	8	P0004		0	140	
F070012	0	16.21	2.39	16.21	LINE	FIADAS	7	P0004		0	120	
F060012	0	16.01	2.39	16.01	LINE	FIADAS	6	P0004		0	100	
F050011	0	15.81	2.39	15.81	LINE	FIADAS	5	P0004		0	80	
F040011	0	15.61	2.39	15.61	LINE	FIADAS	4	P0004		0	60	
F030011	0	15.41	2.39	15.41	LINE	FIADAS	3	P0004		0	40	
